kind	path	symbol	overload_ordinal	planned_owner	disposition
class	dev/src/lowering/calls/arguments.h	CallArgumentLowering	1	dev/src/lowering/calls/arguments.h	keep
class	dev/src/lowering/calls/constructors.h	ConstructorActionLowering	1	dev/src/lowering/calls/constructors.h	keep
class	dev/src/lowering/calls/special_members.h	DestructorActionLowering	1	dev/src/lowering/calls/special_members.h	keep
class	dev/src/lowering/calls/function_calls.h	FunctionCallLowering	1	dev/src/lowering/calls/function_calls.h	keep
class	dev/src/lowering/calls/special_members.h	SpecialMemberLowering	1	dev/src/lowering/calls/special_members.h	keep
class	dev/src/lowering/calls/value_boundary.h	ValueBoundaryLowering	1	dev/src/lowering/calls/value_boundary.h	keep
class	dev/src/lowering/constants/templates.h	Pool	1	dev/src/lowering/constants/templates.h	keep
class	dev/src/lowering/constants/values.h	ConstantLowering	1	dev/src/lowering/constants/values.h	keep
class	dev/src/lowering/control/control_flow.h	ControlFlowLowering	1	dev/src/lowering/control/control_flow.h	keep
class	dev/src/lowering/control/statements.h	ExceptionLowering	1	dev/src/lowering/control/statements.h	keep
class	dev/src/lowering/control/statements.h	StatementLowering	1	dev/src/lowering/control/statements.h	keep
class	dev/src/lowering/control/regions.h	RegionLowering	1	dev/src/lowering/control/regions.h	keep
class	dev/src/lowering/core/source_types.h	SourceTypeLowering	1	dev/src/lowering/core/source_types.h	keep
class	dev/src/lowering/expressions/assignment.h	AssignmentLowering	1	dev/src/lowering/expressions/assignment.h	keep
class	dev/src/lowering/expressions/bit_fields.h	BitFieldValueLowering	1	dev/src/lowering/expressions/bit_fields.h	keep
class	dev/src/lowering/expressions/conditionals.h	ConditionalLowering	1	dev/src/lowering/expressions/conditionals.h	keep
class	dev/src/lowering/expressions/core.h	ExpressionLowering	1	dev/src/lowering/expressions/core.h	keep
class	dev/src/lowering/expressions/logical.h	ControlExpressionLowering	1	dev/src/lowering/expressions/logical.h	keep
class	dev/src/lowering/expressions/member_address.h	MemberAddressLowering	1	dev/src/lowering/expressions/member_address.h	keep
class	dev/src/lowering/expressions/scalar_unary.h	ScalarUnaryLowering	1	dev/src/lowering/expressions/scalar_unary.h	keep
class	dev/src/lowering/extensions/complex.h	ComplexLowering	1	dev/src/lowering/extensions/complex.h	keep
class	dev/src/lowering/extensions/gnu_asm.h	GnuAsmLowering	1	dev/src/lowering/extensions/gnu_asm.h	keep
class	dev/src/lowering/extensions/initializer_lists.h	InitializerListLowering	1	dev/src/lowering/extensions/initializer_lists.h	keep
class	dev/src/lowering/extensions/range_for.h	RangeForLowering	1	dev/src/lowering/extensions/range_for.h	keep
class	dev/src/lowering/ir/model.h	EmissionIdentityTable	1	dev/src/lowering/ir/model.h	keep
class	dev/src/lowering/ir/model.h	StringCounterTable	1	dev/src/lowering/ir/model.h	keep
class	dev/src/lowering/ir/model.h	SymbolIdentityTable	1	dev/src/lowering/ir/model.h	keep
class	dev/src/lowering/objects/aggregate_lifetime.h	AggregateHelperLowering	1	dev/src/lowering/objects/aggregate_lifetime.h	keep
class	dev/src/lowering/objects/array_lifetime.h	ArrayLifetimeLowering	1	dev/src/lowering/objects/array_lifetime.h	keep
class	dev/src/lowering/objects/cleanup_continuations.h	Interner	1	dev/src/lowering/objects/cleanup_continuations.h	keep
class	dev/src/lowering/objects/initialization.h	InitializationLowering	1	dev/src/lowering/objects/initialization.h	keep
class	dev/src/lowering/objects/lifetime_actions.h	LifetimeActionLowering	1	dev/src/lowering/objects/lifetime_actions.h	keep
class	dev/src/lowering/objects/local_statics.h	LocalStaticLowering	1	dev/src/lowering/objects/local_statics.h	keep
class	dev/src/lowering/objects/member_function_pointers.h	MemberFunctionPointerLowering	1	dev/src/lowering/objects/member_function_pointers.h	keep
class	dev/src/lowering/objects/member_pointers.h	MemberPointerLowering	1	dev/src/lowering/objects/member_pointers.h	keep
class	dev/src/lowering/objects/polymorphism.h	PolymorphismActionLowering	1	dev/src/lowering/objects/polymorphism.h	keep
class	dev/src/lowering/objects/rtti.h	RttiLowering	1	dev/src/lowering/objects/rtti.h	keep
class	dev/src/lowering/objects/static_initialization.h	StaticInitializerLowering	1	dev/src/lowering/objects/static_initialization.h	keep
class	dev/src/lowering/objects/static_lifetime.h	StaticLifecycleLowering	1	dev/src/lowering/objects/static_lifetime.h	keep
class	dev/src/lowering/objects/static_members.h	StaticMemberSymbolLowering	1	dev/src/lowering/objects/static_members.h	keep
class	dev/src/lowering/objects/storage_access.h	StorageAccessLowering	1	dev/src/lowering/objects/storage_access.h	keep
class	dev/src/lowering/objects/storage_slots.h	SlotPlanning	1	dev/src/lowering/objects/storage_slots.h	keep
class	dev/src/lowering/objects/temporary_lifetime.h	TemporaryLifetimeLowering	1	dev/src/lowering/objects/temporary_lifetime.h	keep
class	dev/src/lowering/objects/virtual_bases.h	VirtualBaseBoundaryShape	1	dev/src/lowering/objects/virtual_bases.h	keep
class	dev/src/lowering/objects/virtual_bases.h	VirtualBaseContractLookup	1	dev/src/lowering/objects/virtual_bases.h	keep
class	dev/src/lowering/objects/virtual_bases.h	VirtualBaseLowering	1	dev/src/lowering/objects/virtual_bases.h	keep
class	dev/src/lowering/presentation/local_names.h	EmissionNameMap	1	dev/src/lowering/presentation/local_names.h	keep
class	dev/src/lowering/presentation/local_names.h	LocalPresentationState	1	dev/src/lowering/presentation/local_names.h	keep
class	dev/src/lowering/support/identity_maps.h	FlatIdMap	1	dev/src/lowering/support/identity_maps.h	keep
class	dev/src/lowering/support/identity_maps.h	FlatIdPairMap	1	dev/src/lowering/support/identity_maps.h	keep
class	dev/src/lowering/support/sequences.h	SmallSequence	1	dev/src/lowering/support/sequences.h	keep
function	dev/src/lowering/abi/emission_policy.cpp	ApplyLifecycleSymbolMetadata	1	dev/src/lowering/abi/emission_policy.cpp	keep
function	dev/src/lowering/abi/emission_policy.cpp	IsCompleteBoundaryObject	1	dev/src/lowering/abi/emission_policy.cpp	keep
function	dev/src/lowering/abi/emission_policy.cpp	IsFunctionDeclarationBoundaryComplete	1	dev/src/lowering/abi/emission_policy.cpp	keep
function	dev/src/lowering/abi/emission_policy.cpp	IsFunctionEmissionDemanded	1	dev/src/lowering/abi/emission_policy.cpp	keep
function	dev/src/lowering/abi/emission_policy.cpp	IsVariableDeclarationOnly	1	dev/src/lowering/abi/emission_policy.cpp	keep
function	dev/src/lowering/abi/mangling.cpp	HasWeakLinkage	1	dev/src/lowering/abi/mangling.cpp	keep
function	dev/src/lowering/abi/mangling.cpp	MangleFunction	1	dev/src/lowering/abi/mangling.cpp	keep
function	dev/src/lowering/abi/mangling.cpp	MangleThreadLocalWrapper	1	dev/src/lowering/abi/mangling.cpp	keep
function	dev/src/lowering/abi/mangling.cpp	MangleType	1	dev/src/lowering/abi/mangling.cpp	keep
function	dev/src/lowering/abi/mangling.cpp	MangleVariable	1	dev/src/lowering/abi/mangling.cpp	keep
function	dev/src/lowering/abi/symbol_metadata.cpp	ApplyBuiltinParameterAliasMetadata	1	dev/src/lowering/abi/symbol_metadata.cpp	keep
function	dev/src/lowering/abi/symbol_metadata.cpp	ApplyBuiltinSymbolMetadata	1	dev/src/lowering/abi/symbol_metadata.cpp	keep
function	dev/src/lowering/abi/symbol_metadata.cpp	ApplyNativeRuntimeSymbolMetadata	1	dev/src/lowering/abi/symbol_metadata.cpp	keep
