kind	path	symbol	overload_ordinal	planned_owner	implementation_path	disposition
enum	dev/src/native/lowering/lowir_native.h	NativeMovementReason	1	dev/src/native/driver/stats.h	-	review
enum	dev/src/native/lowering/lowir_native.h	TemporaryHomeReason	1	dev/src/native/driver/stats.h	-	review
struct	dev/src/native/lowering/lowir_native.h	Stats	1	dev/src/native/driver/stats.h	-	review
struct	dev/src/native/lowering/lowir_native.h	RelocatableLabel	1	dev/src/native/object/model.h	-	review
struct	dev/src/native/lowering/lowir_native.h	RelocatableRelocation	1	dev/src/native/object/model.h	-	review
struct	dev/src/native/lowering/lowir_native.h	RelocatableSection	1	dev/src/native/object/model.h	-	review
struct	dev/src/native/lowering/lowir_native.h	RelocatableObject	1	dev/src/native/object/model.h	-	review
class	dev/src/native/lowering/lowir_native.h	ProgramLoweringSession	1	dev/src/native/driver/session.h	-	review
class	dev/src/native/lowering/lowir_native.cpp	FunctionLowerer	1	dev/src/native/lowering/function.cpp	-	review
function	dev/src/native/lowering/lowir_native.h	lower_program	1	dev/src/native/driver/session.h	dev/src/native/driver/session.cpp	review
function	dev/src/native/lowering/lowir_native.h	write_linux_executable	1	dev/src/native/object/elf_writer.h	dev/src/native/object/elf_writer.cpp	review
function	dev/src/native/lowering/lowir_native.h	write_linux_executable	2	dev/src/native/object/elf_writer.h	dev/src/native/object/elf_writer.cpp	review
function	dev/src/native/lowering/lowir_native.h	write_linux_executable	3	dev/src/native/object/elf_writer.h	dev/src/native/object/elf_writer.cpp	review
function	dev/src/native/lowering/lowir_native.h	write_linux_relocatable	1	dev/src/native/object/elf_writer.h	dev/src/native/object/elf_writer.cpp	review
