path	method	overload_ordinal	planned_owner	disposition
dev/src/semantic/analysis/analyzer.cpp	AdjustParameterType	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeAssignment	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeCall	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeDeclaration	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeExpression	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeFunction	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeNamespace	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeSimple	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeStatement	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeSubscript	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeSubstatement	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	AnalyzeTemplate	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	ApplyTarget	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	BuildResolvedCall	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	CommonArithmeticType	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	Consume	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	Conversion	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	Conversion	2	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	Decay	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	EffectiveType	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	FindChild	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	FindChild	2	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	FirstSemanticChild	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	FundamentalOf	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IntegralPromotionType	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IntegralRank	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsArithmetic	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsConst	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsFloating	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsIntegral	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsModifiableLvalue	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsNullptr	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsPointer	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	IsVoid	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	MakeDump	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	PayloadSource	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	QualificationConversion	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	Render	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	RenderNode	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	SelectOverload	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/analyzer.cpp	SimilarUnqualified	1	R6:analysis-expressions-declarations-presentation	review
dev/src/semantic/analysis/capacity.cpp	PublishBindingPopulationStats	1	dev/src/semantic/analysis/capacity.cpp	keep
dev/src/semantic/analysis/capacity.cpp	PublishPresentationPopulationStats	1	dev/src/semantic/analysis/capacity.cpp	keep
dev/src/semantic/analysis/capacity.cpp	ReserveSemanticCapacity	1	dev/src/semantic/analysis/capacity.cpp	keep
dev/src/semantic/analysis/scope.cpp	DisplayName	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	HasInternalLinkageScope	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	InitializeInitializerListLifetimeScope	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	NewNamedScope	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	NewScope	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	PublishInlineFunctionFacts	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	ReadFunctionDisplayName	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	ReadFunctionSourceDisplayName	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	ScopePrefix	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/scope.cpp	ScopePrefixId	1	dev/src/semantic/analysis/scope.cpp	keep
dev/src/semantic/analysis/storage.cpp	SideStorageBytes	1	dev/src/semantic/analysis/storage.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	BindingAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	ConstexprAddressAt	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	EvaluateConstexprReturn	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	ExpressionAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	ExpressionTruth	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	InternConstexprAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	LvalueAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	MaterializeConstexprAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	NullConstexprAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	OffsetConstexprAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	PublishBindingAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	SetExpressionAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	SetExpressionLvalueAddress	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/address_evaluator.cpp	TryAnalyzeConstexprIndirectCall	1	dev/src/semantic/constants/address_evaluator.cpp	keep
dev/src/semantic/constants/analysis.cpp	AnalyzeClassFunctionalCast	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	AnalyzeNoexcept	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	AnalyzeStaticAssert	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	ApplyClassObjectTarget	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	ApplyContextualBool	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	IntegralWidth	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	IsUnsignedIntegral	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	NormalizeIntegralConstant	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	RecordExpressionFacts	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	RequestedAlignment	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	TryFoldConstantClassConversion	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	ValidateOrdinaryMemberFunctionBodies	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	ValidateOrdinaryMemberFunctionBody	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/analysis.cpp	ValidateStaticAssertionsInBlock	1	dev/src/semantic/constants/analysis.cpp	keep
dev/src/semantic/constants/object_evaluator.cpp	AnalyzeAggregateInit	1	dev/src/semantic/constants/object_evaluator.cpp	keep
dev/src/semantic/constants/object_evaluator.cpp	AnalyzeArrayAggregateInit	1	dev/src/semantic/constants/object_evaluator.cpp	keep
dev/src/semantic/constants/object_evaluator.cpp	AnalyzeStringArrayInitializer	1	dev/src/semantic/constants/object_evaluator.cpp	keep
dev/src/semantic/constants/object_evaluator.cpp	BuildLocalAggregateArrayActions	1	dev/src/semantic/constants/object_evaluator.cpp	keep
dev/src/semantic/constants/object_evaluator.cpp	CompleteQualifiedStaticArrayType	1	dev/src/semantic/constants/object_evaluator.cpp	keep
dev/src/semantic/constants/object_evaluator.cpp	IsStaticConstantDefinition	1	dev/src/semantic/constants/object_evaluator.cpp	keep
dev/src/semantic/constants/object_evaluator.cpp	MaterializeConstantDefinitionInitializer	1	dev/src/semantic/constants/object_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprAddressLocal	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprInvocationArguments	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprLocal	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprLocal	2	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprLocal	3	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprLocalValue	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprTypeAlias	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AddConstexprUsingNamespace	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AnalyzeConstantAwareVariableInitializer	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AnalyzeConstantRequiredExpression	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AnalyzeConstexprExpression	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AnalyzeConstexprInitializer	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AnalyzeConstexprMemberInitializer	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AnalyzeDefaultConstexprObjectInitializer	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	AnalyzeInClassStaticInitializer	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	ApplyConstantScalarBinary	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	BindingObject	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
dev/src/semantic/constants/scalar_evaluator.cpp	BindingScalar	1	dev/src/semantic/constants/scalar_evaluator.cpp	keep
